mmsi,timestamp,distance_from_shore,distance_from_port,speed,course,lat,lon,is_fishing
1.26395608076e+13,1404970218.0,301551.90625,311654.03125,8.6000003815,191.699996948,19.3783378601,-19.3342437744,-1.0
1.26395608076e+13,1404970218.0,301551.90625,311654.03125,8.6000003815,191.699996948,19.3783378601,-19.3342437744,-1.0
1.26395608076e+13,1404970218.0,301551.90625,311654.03125,8.6000003815,191.699996948,19.3783378601,-19.3342437744,-1.0
1.26395608076e+13,1404970230.0,301551.90625,311654.03125,8.3999996185,189.199996948,19.3778743744,-19.3342990875,-1.0
1.26395608076e+13,1404970230.0,301551.90625,311654.03125,8.3999996185,189.199996948,19.3778743744,-19.3342990875,-1.0
1.26395608076e+13,1404970230.0,301551.90625,311654.03125,8.3999996185,189.199996948,19.3778743744,-19.3342990875,-1.0
1.26395608076e+13,1404970230.0,301551.90625,311654.03125,8.3999996185,189.199996948,19.3778743744,-19.3342990875,-1.0
1.26395608076e+13,1404970262.0,302371.5,312466.34375,7.8000001907,186.899993897,19.3765907288,-19.3344402313,-1.0
1.26395608076e+13,1404970262.0,302371.5,312466.34375,7.8000001907,186.899993897,19.3765907288,-19.3344402313,-1.0
1.26395608076e+13,1404970262.0,302371.5,312466.34375,7.8000001907,186.899993897,19.3765907288,-19.3344402313,-1.0
1.26395608076e+13,1404970262.0,302371.5,312466.34375,7.8000001907,186.899993897,19.3765907288,-19.3344402313,-1.0
1.26395608076e+13,1404970266.0,302371.5,312466.34375,9.3999996185,186.600006103,19.3764305115,-19.3344593048,-1.0
1.26395608076e+13,1404970266.0,302371.5,312466.34375,9.3999996185,186.600006103,19.3764305115,-19.3344593048,-1.0
1.26395608076e+13,1404970266.0,302371.5,312466.34375,9.3999996185,186.600006103,19.3764305115,-19.3344593048,-1.0
1.26395608076e+13,1404970266.0,302371.5,312466.34375,9.3999996185,186.600006103,19.3764305115,-19.3344593048,-1.0
1.26395608076e+13,1404970270.0,302371.5,312466.34375,8.6999998093,179.800003052,19.3762607574,-19.3344631195,-1.0
1.26395608076e+13,1404970270.0,302371.5,312466.34375,8.6999998093,179.800003052,19.3762607574,-19.3344631195,-1.0
1.26395608076e+13,1404970270.0,302371.5,312466.34375,8.6999998093,179.800003052,19.3762607574,-19.3344631195,-1.0
1.26395608076e+13,1404970270.0,302371.5,312466.34375,8.6999998093,179.800003052,19.3762607574,-19.3344631195,-1.0
1.26395608076e+13,1404970274.0,302371.5,312466.34375,8.5,183.399993897,19.3760986328,-19.3344764709,-1.0
1.26395608076e+13,1404970274.0,302371.5,312466.34375,8.5,183.399993897,19.3760986328,-19.3344764709,-1.0
1.26395608076e+13,1404970274.0,302371.5,312466.34375,8.5,183.399993897,19.3760986328,-19.3344764709,-1.0
1.26395608076e+13,1404970274.0,302371.5,312466.34375,8.5,183.399993897,19.3760986328,-19.3344764709,-1.0
1.26395608076e+13,1404970306.0,302371.5,312466.34375,10.6000003815,177.0,19.3747653961,-19.334482193,-1.0
1.26395608076e+13,1404970306.0,302371.5,312466.34375,10.6000003815,177.0,19.3747653961,-19.334482193,-1.0
1.26395608076e+13,1404970306.0,302371.5,312466.34375,10.6000003815,177.0,19.3747653961,-19.334482193,-1.0
1.26395608076e+13,1404970306.0,302371.5,312466.34375,10.6000003815,177.0,19.3747653961,-19.334482193,-1.0
1.26395608076e+13,1404975861.0,313029.0625,324419.21875,5.4000000954,174.5,19.2458782196,-19.3585243225,-1.0
1.26395608076e+13,1404975861.0,313029.0625,324419.21875,5.4000000954,174.5,19.2458782196,-19.3585243225,-1.0
1.26395608076e+13,1404975861.0,313029.0625,324419.21875,5.4000000954,174.5,19.2458782196,-19.3585243225,-1.0
1.26395608076e+13,1404975861.0,313029.0625,324419.21875,5.4000000954,174.5,19.2458782196,-19.3585243225,-1.0
1.26395608076e+13,1404975885.0,313029.0625,324419.21875,4.5,190.800003052,19.2453193665,-19.3585014343,-1.0
1.26395608076e+13,1404975885.0,313029.0625,324419.21875,4.5,190.800003052,19.2453193665,-19.3585014343,-1.0
1.26395608076e+13,1404975885.0,313029.0625,324419.21875,4.5,190.800003052,19.2453193665,-19.3585014343,-1.0
1.26395608076e+13,1404975885.0,313029.0625,324419.21875,4.5,190.800003052,19.2453193665,-19.3585014343,-1.0
1.26395608076e+13,1404975889.0,313029.0625,324419.21875,5.4000000954,185.100006103,19.2452354431,-19.3585205078,-1.0
1.26395608076e+13,1404975889.0,313029.0625,324419.21875,5.4000000954,185.100006103,19.2452354431,-19.3585205078,-1.0
1.26395608076e+13,1404975889.0,313029.0625,324419.21875,5.4000000954,185.100006103,19.2452354431,-19.3585205078,-1.0
1.26395608076e+13,1404975889.0,313029.0625,324419.21875,5.4000000954,185.100006103,19.2452354431,-19.3585205078,-1.0
1.26395608076e+13,1404975893.0,313029.0625,324419.21875,4.4000000954,200.100006103,19.2451534271,-19.358543396,-1.0
1.26395608076e+13,1404975893.0,313029.0625,324419.21875,4.4000000954,200.100006103,19.2451534271,-19.358543396,-1.0
1.26395608076e+13,1404975893.0,313029.0625,324419.21875,4.4000000954,200.100006103,19.2451534271,-19.358543396,-1.0
1.26395608076e+13,1404975893.0,313029.0625,324419.21875,4.4000000954,200.100006103,19.2451534271,-19.358543396,-1.0
1.26395608076e+13,1404975993.0,313029.0625,324419.21875,7.4000000954,180.800003052,19.2420024872,-19.3585720062,-1.0
1.26395608076e+13,1404975993.0,313029.0625,324419.21875,7.4000000954,180.800003052,19.2420024872,-19.3585720062,-1.0
1.26395608076e+13,1404975993.0,313029.0625,324419.21875,7.4000000954,180.800003052,19.2420024872,-19.3585720062,-1.0
1.26395608076e+13,1404975993.0,313029.0625,324419.21875,7.4000000954,180.800003052,19.2420024872,-19.3585720062,-1.0
1.26395608076e+13,1404996747.0,334400.25,370051.71875,7.6999998093,267.299987793,18.7816238403,-19.4887771606,-1.0
1.26395608076e+13,1404996747.0,334400.25,370051.71875,7.6999998093,267.299987793,18.7816238403,-19.4887771606,-1.0
1.26395608076e+13,1405005315.0,338653.78125,365952.78125,6.5,347.899993897,18.9099693298,-19.5509738922,-1.0
1.26395608076e+13,1405005315.0,338653.78125,365952.78125,6.5,347.899993897,18.9099693298,-19.5509738922,-1.0
1.26395608076e+13,1405005703.0,338170.65625,364008.90625,8.5,357.299987793,18.9247455597,-19.5511798859,-1.0
1.26395608076e+13,1405005703.0,338170.65625,364008.90625,8.5,357.299987793,18.9247455597,-19.5511798859,-1.0
1.26395608076e+13,1405005703.0,338170.65625,364008.90625,8.5,357.299987793,18.9247455597,-19.5511798859,-1.0
1.26395608076e+13,1405005703.0,338170.65625,364008.90625,8.5,357.299987793,18.9247455597,-19.5511798859,-1.0
1.26395608076e+13,1405005775.0,338170.65625,364008.90625,8.3000001907,0.0,18.9274578094,-19.5511932373,-1.0
1.26395608076e+13,1405005775.0,338170.65625,364008.90625,8.3000001907,0.0,18.9274578094,-19.5511932373,-1.0
1.26395608076e+13,1405005775.0,338170.65625,364008.90625,8.3000001907,0.0,18.9274578094,-19.5511932373,-1.0
1.26395608076e+13,1405005775.0,338170.65625,364008.90625,8.3000001907,0.0,18.9274578094,-19.5511932373,-1.0
1.26395608076e+13,1405005779.0,338170.65625,364008.90625,8.3000001907,358.600006103,18.9275989532,-19.5511932373,-1.0
1.26395608076e+13,1405005779.0,338170.65625,364008.90625,8.3000001907,358.600006103,18.9275989532,-19.5511932373,-1.0
1.26395608076e+13,1405005779.0,338170.65625,364008.90625,8.3000001907,358.600006103,18.9275989532,-19.5511932373,-1.0
1.26395608076e+13,1405005779.0,338170.65625,364008.90625,8.3000001907,358.600006103,18.9275989532,-19.5511932373,-1.0
1.26395608076e+13,1405005815.0,338170.65625,364008.90625,7.5,354.799987793,18.928943634,-19.5512256622,-1.0
1.26395608076e+13,1405005815.0,338170.65625,364008.90625,7.5,354.799987793,18.928943634,-19.5512256622,-1.0
1.26395608076e+13,1405005815.0,338170.65625,364008.90625,7.5,354.799987793,18.928943634,-19.5512256622,-1.0
1.26395608076e+13,1405005815.0,338170.65625,364008.90625,7.5,354.799987793,18.928943634,-19.5512256622,-1.0
1.26395608076e+13,1405005895.0,338015.375,363364.15625,6.8000001907,354.600006103,18.9319057465,-19.5513095856,-1.0
1.26395608076e+13,1405005895.0,338015.375,363364.15625,6.8000001907,354.600006103,18.9319057465,-19.5513095856,-1.0
